before_T_count,tket_after_T_count,tket_time,pyzx_after_T_count,pyzx_time,tmerge_after_T_count,tmerge_time
971,971,2.2848618030548096,971,62.59517216682434,971,0.764878511428833
971,971,2.3086788654327393,971,78.12326240539551,971,0.7795102596282959
971,971,2.266390562057495,971,48.43492841720581,971,0.6919398307800293
971,971,2.2362120151519775,971,65.22418642044067,971,0.6991579532623291
971,971,2.280374050140381,971,76.96089267730713,971,0.7371642589569092
969,969,2.2939820289611816,969,43.08879089355469,969,0.7394425868988037
969,969,2.293219566345215,969,67.64895343780518,969,0.6541163921356201
971,971,2.2651846408843994,971,52.82874655723572,971,0.7558705806732178
971,971,2.2367374897003174,971,70.15672135353088,971,0.6711306571960449
971,971,2.226557731628418,971,44.44923973083496,971,0.7122213840484619
971,971,2.1886019706726074,971,69.23736667633057,971,0.7189774513244629
971,971,2.202785015106201,971,64.28396892547607,971,0.7551436424255371
